ANCHO DE BANDA DESCARGA (MB),FINALIZACIÓN DEL CONTRATO,LATITUD,LONGITUD,DURACIÓN_RESTANTE_CONTRATO,"CALIDAD_CONECTIVIDAD (0=BAJA, 0.5=MEDIA, 1=ALTA)",ZONA_NUM,OPERADOR_NUM,PROYECTO_NUM,MUNICIPIO_NUM,ESTADO_NUM
12.0,2032-12-01,4.94506202,-73.38084868,2797,0.5,0,1,1,0,1
12.0,2032-12-01,5.369444,-72.881389,2797,0.5,0,1,1,1,0
15.0,2032-12-01,5.498777603,-72.91264973,2797,0.5,0,1,1,1,1
12.0,2032-12-01,5.304167,-72.927778,2797,0.5,0,1,1,1,0
12.0,2032-12-01,5.508333,-72.869167,2797,0.5,0,1,1,1,0
15.0,2032-12-01,5.511944,-72.883889,2797,0.5,0,1,1,1,1
12.0,2032-12-01,5.586463121,-72.89043746,2797,0.5,0,1,1,1,1
12.0,2032-12-01,5.502775098,-72.90565412,2797,0.5,0,1,1,1,0
12.0,2032-12-01,5.288333,-72.927778,2797,0.5,0,1,1,1,1
15.0,2032-12-01,5.304444,-72.922222,2797,0.5,0,1,1,1,1
12.0,2032-12-01,5.518333,-72.8825,2797,0.5,0,1,1,1,0
12.0,2032-12-01,5.296036691,-72.96669619,2797,0.5,0,1,1,1,1
18.0,2032-12-01,5.4815741,-72.94493902,2797,0.5,0,1,1,1,1
15.0,2032-12-01,5.523976095,-72.79386704,2797,0.5,0,1,1,1,1
12.0,2032-12-01,5.386667,-72.909722,2797,0.5,0,1,1,1,0
12.0,2032-12-01,5.479181,-72.953978,2797,0.5,0,1,1,1,0
12.0,2032-12-01,5.508611,-72.783056,2797,0.5,0,1,1,1,0
12.0,2032-12-01,5.383333,-72.919444,2797,0.5,0,1,1,1,0
12.0,2032-12-01,5.785068719,-73.46116816,2797,0.5,0,1,1,2,1
15.0,2032-12-01,5.684024907,-73.36293687,2797,0.5,0,1,1,2,0
12.0,2032-12-01,5.711550512,-73.375272,2797,0.5,0,1,1,2,0
15.0,2032-12-01,6.03884512,-72.92356678,2797,0.5,0,1,1,3,1
12.0,2032-12-01,6.034377,-72.918289,2797,0.5,0,1,1,3,0
15.0,2032-12-01,6.0342222222222,-73.02388889,2797,0.5,0,1,1,3,1
12.0,2032-12-01,5.17902567,-73.08446044,2797,0.5,0,1,1,4,1
12.0,2032-12-01,5.907745,-72.8639,2797,0.5,0,1,1,5,0
15.0,2032-12-01,5.910076503,-72.86543782,2797,0.5,0,1,1,5,1
12.0,2032-12-01,6.353359714,-72.59594713,2797,0.5,0,1,1,6,0
12.0,2032-12-01,6.412089417,-72.61656296,2797,0.5,0,1,1,6,1
12.0,2032-12-01,6.312631564,-72.60748278,2797,0.5,0,1,1,6,1
15.0,2032-12-01,6.398617062,-72.63102039,2797,0.5,0,1,1,6,1
12.0,2032-12-01,5.429376466,-73.41392399,2797,0.5,0,1,1,7,1
12.0,2032-12-01,5.434503002,-73.36231744,2797,0.5,0,1,1,7,1
12.0,2032-12-01,5.447218842,-73.3884582,2797,0.5,0,1,1,7,0
12.0,2032-12-01,5.437739069,-73.34608,2797,0.5,0,1,1,7,0
12.0,2032-12-01,5.714868143,-73.90014783,2797,0.5,0,1,1,8,1
12.0,2032-12-01,5.667707226,-73.91139673,2797,0.5,0,1,1,8,0
12.0,2032-12-01,5.703875034,-73.92652415,2797,0.5,0,1,1,8,0
15.0,2032-12-01,5.476667,-73.943611,2797,0.5,0,1,1,9,1
12.0,2032-12-01,5.5119459,-73.95504923,2797,0.5,0,1,1,9,0
12.0,2032-12-01,5.49169854,-73.93634034,2797,0.5,0,1,1,9,0
12.0,2032-12-01,5.49169854,-73.93634034,2797,0.5,0,1,1,9,1
12.0,2032-12-01,5.595833,-73.861667,2797,0.5,0,1,1,10,1
12.0,2032-12-01,5.541393,-73.896675,2797,0.5,0,1,1,10,1
12.0,2032-12-01,5.590192662,-73.88909001,2797,0.5,0,1,1,10,1
12.0,2032-12-01,5.581944,-73.8625,2797,0.5,0,1,1,10,0
12.0,2032-12-01,5.558336438,-73.90304674,2797,0.5,0,1,1,10,1
12.0,2032-12-01,5.017563,-73.205673,2797,0.5,0,1,1,11,0
12.0,2032-12-01,5.018611,-73.08,2797,0.5,0,1,1,11,0
12.0,2032-12-01,5.043713442,-73.22386271,2797,0.5,0,1,1,11,0
12.0,2032-12-01,5.029722,-73.096389,2797,0.5,0,1,1,11,0
12.0,2032-12-01,5.004722,-73.050278,2797,0.5,0,1,1,11,0
15.0,2032-12-01,5.013333,-73.105,2797,0.5,0,1,1,11,0
12.0,2032-12-01,5.944737,-72.969455,2797,0.5,0,1,1,12,0
12.0,2032-12-01,5.93692208,-72.94243128,2797,0.5,0,1,1,12,1
12.0,2032-12-01,5.1425,-73.359722,2797,0.5,0,1,1,13,1
12.0,2032-12-01,5.154493535,-73.34919658,2797,0.5,0,1,1,13,1
15.0,2032-12-01,5.166111,-73.356389,2797,0.5,0,1,1,13,1
12.0,2032-12-01,5.216111,-73.347778,2797,0.5,0,1,1,13,1
12.0,2032-12-01,5.604722,-73.83,2797,0.5,0,1,1,14,0
12.0,2032-12-01,5.675627096,-73.87396975,2797,0.5,0,1,1,14,1
15.0,2032-12-01,5.636147377,-73.80325842,2797,0.5,0,1,1,14,1
18.0,2032-12-01,5.6162315716,-73.739617615,2797,0.5,0,1,1,14,0
12.0,2032-12-01,5.604722,-73.7225,2797,0.5,0,1,1,14,1
12.0,2032-12-01,5.629758524,-73.72359406,2797,0.5,0,1,1,14,0
12.0,2032-12-01,5.6065,-73.48361111,2797,0.5,0,1,1,15,1
12.0,2032-12-01,5.615291,-73.455246,2797,0.5,0,1,1,15,1
12.0,2032-12-01,5.631929,-73.409202,2797,0.5,0,1,1,15,0
